Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,19,1596,17.7,1,27,5,18.5,1,4,336,2,0,0,411,549,74.9,5186,1517,235,287,81.9,105,137,76.6,16,42,38.1,2,31,31,8,2,57,549,497,51,17,3,0,45,26,12,11,1,4,411,0,15,64,42,10,4,2,5,1,5,3,0,0,1,0,1,29,9,8,16,5,9,26,34.6,17,30,2,28,1,30,5,1,779,7,77,336,381,44,779,473,2409,1002,27,19,7,46,55,535,100,2,0,0,11,40,3,45,9,0,0,0,86,6,21,22.2
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,22.0,0,19,1,5.3,0,0,297,0,0,0,847,1038,81.5,16533,7007,240,284,84.5,510,565,90.1,83,154,53.9,1,6,64,2,0,99,1038,953,82,73,0,12,4,0,0,0,0,2,847,5,13,25,19,0,0,4,0,2,4,3,0,0,1,0,0,55,35,32,22,1,29,37,78.4,8,49,17,32,44,99,64,1,1302,137,605,649,60,24,1302,880,5152,2750,12,5,2,16,15,759,5,2,0,0,29,11,1,4,35,0,0,0,146,48,27,64.0
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,14,8,770,8.6,0,9,3,33.3,0,0,165,0,0,0,344,426,80.8,5814,1618,159,189,84.1,133,161,82.6,38,51,74.5,0,13,34,15,3,55,426,414,10,3,1,2,9,0,0,0,0,7,344,2,10,23,21,0,0,1,0,1,0,0,0,0,0,0,0,25,12,11,12,2,14,23,60.9,9,13,1,12,8,33,8,0,538,8,98,310,150,10,538,417,2567,1299,22,22,4,18,9,373,51,1,0,0,15,11,0,9,12,0,0,0,70,8,9,47.1
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,20,1799,20.0,1,12,3,25.0,2,7,406,0,0,0,1190,1298,91.6,18926,4538,592,636,93.2,494,524,94.3,67,86,77.9,0,10,120,11,2,112,1298,1262,28,26,1,4,7,0,0,0,0,2,1190,7,8,32,27,0,2,2,0,1,0,0,0,0,0,0,0,30,16,11,17,2,17,26,65.4,9,26,7,19,22,52,16,0,1466,42,240,992,244,14,1466,1220,6338,2350,25,39,3,27,26,1130,34,3,0,0,49,27,0,7,16,0,0,1,132,10,10,50.0
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,15,1165,12.9,0,4,0,0.0,0,0,308,0,0,0,489,560,87.3,7915,2899,231,250,92.4,203,230,88.6,34,51,66.7,1,8,50,5,0,65,560,550,10,10,5,2,3,0,0,0,0,0,489,1,4,16,13,1,0,1,0,1,1,1,0,0,0,0,0,49,26,34,15,0,17,42,40.5,25,18,3,15,15,64,20,0,706,42,248,405,63,3,706,529,2248,938,6,12,0,17,10,470,6,2,0,0,12,13,0,3,26,0,0,0,84,4,5,44.4
6,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,0,11,0.1,0,0,0,0.0,0,0,0,0,0,0,2,3,66.7,31,9,1,1,100.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,5,0,2,2,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
7,Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,2,185,2.1,1,9,3,33.3,0,1,43,0,0,0,15,21,71.4,293,84,3,5,60.0,10,11,90.9,1,2,50.0,0,0,1,3,1,4,21,19,2,0,0,0,2,0,0,0,0,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,2,0.0,2,1,0,1,1,4,1,0,54,1,3,24,27,14,54,36,204,22,3,0,2,16,7,40,14,0,0,0,2,3,1,2,1,0,0,0,1,3,3,50.0
8,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,0,107,1.2,1,6,2,33.3,0,1,15,0,0,0,7,15,46.7,129,30,3,6,50.0,3,4,75.0,1,1,100.0,0,2,1,1,0,2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1,7,2,0,0,3,1,1,2,0,0,0,0,1,1,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,37,1,1,15,22,15,37,27,174,105,4,1,2,10,1,27,11,0,0,0,3,5,1,2,1,1,0,0,2,1,4,20.0
9,Abner,BRA,DF,Betis,La Liga,22,2000,4,3,272,3.0,0,2,1,50.0,0,0,23,0,0,0,117,163,71.8,1770,796,62,70,88.6,40,60,66.7,7,17,41.2,0,0,9,1,0,10,163,127,35,1,0,2,4,0,0,0,0,34,117,1,7,3,2,0,1,0,0,0,1,1,0,0,0,0,0,8,7,7,1,0,6,7,85.7,1,4,2,2,6,14,8,0,197,14,62,92,45,5,197,91,338,202,2,2,1,3,2,105,11,0,0,0,2,2,0,4,7,0,0,0,18,3,6,33.3
10,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,17,1507,16.7,5,46,17,37.0,2,5,302,0,0,0,294,423,69.7,3666,828,195,249,79.0,74,103,71.8,4,14,28.6,4,9,13,7,1,30,423,406,14,1,1,0,16,0,0,0,0,13,294,3,26,39,22,0,3,6,7,1,4,2,0,1,0,1,0,19,12,9,5,5,5,22,22.7,17,9,1,8,14,33,11,0,635,16,91,244,312,83,635,478,2968,1247,51,18,19,43,16,453,159,3,0,0,26,30,12,16,12,0,0,0,74,7,22,24.1
