Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22,2000,34,32,2881,32.0,0,13,2,15.4,0,0,656,0,0,0,1088,1440,75.5,18371,6874,560,621,90.0,419,544,77.0,98,217,45.2,2,19,50,36,8,94,1440,1101,339,27,2,19,45,0,0,0,0,311,1088,7,56,38,27,2,3,4,2,0,5,5,0,0,0,0,0,69,37,50,19,0,37,58,63.8,21,86,22,64,56,125,70,0,1856,162,746,762,480,29,1530,1085,6381,3894,174,53,13,27,30,1037,41,8,0,0,31,59,1,45,37,0,2,1,177,15,51,22.7
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,34,34,2983,33.1,2,18,6,33.3,4,11,619,0,0,0,1281,1556,82.4,27665,9529,338,377,89.9,741,828,89.4,187,303,61.7,0,8,81,6,0,90,1556,1456,100,81,0,55,2,0,0,0,0,14,1281,5,29,21,14,0,3,1,0,3,1,0,0,1,0,0,0,62,46,41,20,1,13,27,48.1,14,62,26,36,103,165,106,0,1897,274,1086,851,96,28,1804,1182,6776,3823,91,24,0,15,13,1202,12,5,1,0,43,24,0,2,46,0,1,0,224,67,45,59.8
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22,2000,31,29,2462,27.4,1,18,5,27.8,2,5,556,0,0,0,1532,1671,91.7,28312,5053,616,660,93.5,707,745,94.9,184,214,86.0,0,15,77,13,1,81,1671,1652,20,16,1,22,10,0,0,0,0,4,1532,2,23,40,30,0,0,4,4,2,1,1,0,0,0,0,0,55,34,25,25,5,19,59,32.2,40,27,1,26,51,106,15,0,1929,55,622,1145,299,17,1915,1466,6754,2913,78,20,4,23,40,1485,47,12,3,2,45,35,0,10,34,0,0,0,240,24,24,50.0
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,34,34,2956,32.8,0,30,7,23.3,0,0,741,0,0,0,1335,1633,81.6,25610,6757,535,604,88.6,567,643,87.9,205,308,66.6,2,30,127,19,6,137,1633,1607,28,21,6,49,26,1,0,0,0,5,1335,7,55,66,49,2,1,1,7,6,5,4,0,0,0,1,0,117,73,49,56,12,59,163,36.2,104,55,3,52,84,201,11,0,2020,22,449,1322,380,15,1998,1499,5638,2834,94,37,3,28,48,1410,61,9,0,0,46,68,1,26,73,0,0,0,291,14,14,50.0
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22,2000,1,1,45,0.5,0,0,0,0.0,0,0,0,0,0,0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,12,0,0,5,9,3,12,9,59,9,0,1,0,4,0,8,2,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23,1998,24,5,726,8.1,0,18,4,22.2,0,0,126,0,0,0,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,1,8,7,6,0,13,139,130,9,1,1,2,2,0,0,0,0,0,90,2,9,20,12,0,0,1,2,5,2,1,0,0,1,0,0,14,7,3,7,4,2,11,18.2,9,10,3,7,8,22,7,0,267,9,28,126,126,31,258,154,605,326,21,8,7,41,11,171,48,3,0,0,18,12,15,2,7,0,0,0,39,22,40,35.5
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,7,1,103,1.1,0,2,0,0.0,0,0,9,0,0,0,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,0.0,0,1,1,1,0,1,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,1,0,25,2,2,11,12,3,25,18,68,35,3,0,0,2,5,13,8,0,0,0,2,1,0,1,0,0,0,0,7,0,2,0.0
8,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,37,36,3084,34.3,17,93,32,34.4,5,15,418,2,3,3,501,693,72.0,7714,1756,298,391,76.2,139,201,69.2,44,55,80.0,4,35,37,28,4,61,693,628,68,6,5,11,24,0,0,0,0,1,501,0,24,80,56,1,1,13,6,3,12,5,0,1,3,3,0,34,22,10,15,9,10,23,43.5,13,33,11,22,15,49,31,0,1111,33,87,559,521,201,1043,617,2634,1351,84,28,23,82,44,768,230,9,0,0,43,50,17,24,22,1,1,0,126,82,99,45.3
9,Luis Abram,PER,DF,Granada,La Liga,26,1996,8,6,560,6.2,0,2,0,0.0,0,0,43,0,0,0,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0,8,0,0,9,220,211,9,5,0,7,0,0,0,0,0,2,194,1,1,3,1,0,0,2,0,0,1,0,0,0,1,0,0,7,6,5,1,1,3,4,75.0,1,13,5,8,11,18,39,1,290,63,186,113,7,5,282,156,803,478,7,0,0,2,0,182,1,2,0,0,5,5,0,0,6,0,0,1,25,12,15,44.4
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34,1988,30,29,2536,28.2,4,16,7,43.8,7,16,259,0,0,0,1813,2005,90.3,37943,11559,567,609,93.1,939,995,94.4,280,364,77.1,0,6,122,6,0,88,2005,1935,71,62,2,75,1,0,0,0,0,1,1813,1,12,18,14,1,0,1,2,0,2,1,0,0,0,1,0,27,12,18,9,0,9,20,45.0,11,48,30,18,48,75,115,1,2262,347,1184,1167,65,22,2197,1478,8031,4557,98,20,0,8,3,1630,10,2,1,0,20,19,4,1,12,1,0,0,302,80,45,64.0
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23,1998,13,1,259,2.9,0,11,2,18.2,0,0,46,0,0,0,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,1,2,3,2,2,3,71,69,2,0,0,1,6,0,0,0,0,2,42,1,5,5,3,0,1,1,0,0,1,0,0,0,1,0,0,2,2,0,1,1,2,3,66.7,1,3,0,3,0,2,1,0,130,1,8,59,72,18,129,78,437,279,16,6,5,16,8,101,31,0,0,0,6,8,6,6,2,0,0,0,15,20,11,64.5
12,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,1,0,10,0.1,0,0,0,0.0,0,0,0,0,0,0,3,5,60.0,49,0,1,1,100.0,2,2,100.0,0,1,0.0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,5,0,1,3,2,0,5,4,17,10,1,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
13,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,31,26,2260,25.1,1,17,5,29.4,2,5,555,1,0,0,1564,1970,79.4,32211,11965,590,635,93.1,683,803,84.9,276,474,58.0,3,41,103,42,23,123,1970,1639,331,60,3,106,124,40,1,29,1,231,1564,6,41,66,42,16,1,3,4,0,3,1,2,0,0,0,0,58,39,33,15,10,21,35,60.0,14,36,4,32,31,89,30,0,2209,69,690,1037,643,23,1898,1491,7352,4478,160,51,6,26,27,1486,66,10,0,0,41,54,0,124,39,0,1,0,224,33,37,47.1
