Rk,Squad,Country,LgRk,W,GD,Pts/G,xGD/90,Prog_Passes,Shots_OT,Carries_3rd,Tackles_Won,Crosses,Aerials_Won,Interceptions,Clearances,Blocks,Fouls_Committed,Fouls_Drawn,Penalty_Con,Penalty_Won,Errors,Offsides,Own_Goals,Yellow_Cards,Red_Cards,km_cluster_2,Cluster
1,Manchester City,ENG,1,29,73,2.45,1.63,1766,239,831,324,610,530,434,474,392,373,442,1,7,7,65,0,42,1,1,Offensive
2,Liverpool,ENG,2,28,68,2.42,1.45,1967,237,691,366,554,621,552,566,462,422,395,0,5,7,63,1,50,1,1,Offensive
3,Bayern Munich,GER,1,24,60,2.26,1.5,1884,254,644,391,495,540,544,418,489,343,432,2,1,12,76,1,36,2,1,Offensive
4,Paris S-G,FRA,1,26,54,2.26,1.0,1579,202,733,408,363,284,488,434,409,391,468,3,6,11,93,1,79,4,1,Offensive
5,Real Madrid,ESP,1,26,49,2.26,0.72,1569,240,760,404,483,444,520,537,480,460,557,5,10,14,106,0,76,0,1,Offensive
6,Milan,ITA,1,26,38,2.26,0.74,1350,186,579,489,471,608,606,501,530,518,578,5,5,8,79,2,76,3,1,Offensive
7,Inter,ITA,2,25,52,2.21,1.11,1515,238,575,402,568,659,462,520,501,513,480,4,7,7,57,1,71,0,1,Offensive
8,Napoli,ITA,3,24,43,2.08,0.73,1342,187,611,403,407,431,465,457,493,496,541,1,9,2,66,1,63,2,1,Offensive
9,Dortmund,GER,2,22,33,2.03,0.58,1426,165,460,404,332,541,512,551,513,393,445,6,6,9,73,2,63,1,1,Offensive
10,Chelsea,ENG,3,21,43,1.95,0.82,1614,199,694,401,496,623,557,730,562,485,504,5,8,13,69,1,63,1,1,Offensive
11,Barcelona,ESP,2,21,30,1.92,0.69,1667,178,631,413,577,531,466,482,526,554,624,3,6,13,99,0,97,5,1,Offensive
12,Leverkusen,GER,3,19,33,1.88,0.59,1158,184,498,359,349,524,617,626,507,403,388,4,5,8,65,1,66,2,1,Offensive
13,Tottenham,ENG,4,22,29,1.87,0.68,1318,186,553,371,407,651,552,818,612,479,515,2,3,4,62,1,69,1,1,Offensive
14,Marseille,FRA,2,21,25,1.87,0.5,1438,159,550,397,434,434,509,462,423,377,522,4,10,6,60,1,61,3,1,Offensive
15,Atlético Madrid,ESP,3,21,22,1.87,0.5,1250,150,475,394,485,664,494,671,505,534,608,8,4,8,85,2,110,7,1,Offensive
16,Sevilla,ESP,4,18,23,1.84,0.14,1180,141,473,395,555,684,469,671,530,531,523,4,3,14,80,0,97,4,1,Offensive
17,Juventus,ITA,4,20,20,1.84,0.35,1276,168,493,380,404,602,508,690,589,563,554,6,5,7,74,1,77,2,1,Offensive
18,Monaco,FRA,3,20,25,1.82,0.42,1597,152,530,507,506,617,666,600,477,537,451,9,5,8,93,3,85,4,1,Offensive
19,Arsenal,ENG,5,22,13,1.82,0.34,1168,185,546,350,433,553,476,641,528,425,436,6,6,12,66,1,67,4,1,Offensive
20,Rennes,FRA,4,20,42,1.74,0.57,1390,193,529,333,482,642,496,672,532,467,434,6,4,10,58,1,56,2,1,Offensive
21,Nice,FRA,5,20,16,1.74,0.31,1217,142,533,419,500,561,609,615,565,496,408,4,6,4,52,0,77,6,1,Offensive
22,RB Leipzig,GER,4,17,35,1.71,0.64,1407,171,436,327,385,613,529,644,533,408,482,3,5,10,66,1,49,0,1,Offensive
23,Betis,ESP,5,19,22,1.71,0.29,1242,181,459,428,371,600,513,802,571,548,564,3,4,13,71,2,87,6,1,Offensive
24,Lazio,ITA,5,18,19,1.68,0.2,1235,185,597,348,415,487,495,598,565,477,506,6,6,3,44,1,88,5,1,Offensive
25,Union Berlin,GER,5,16,6,1.68,0.26,968,149,295,340,454,741,533,753,512,475,366,2,2,10,63,4,62,1,0,Defensive
